id,public_id,kind,domain,title,symptom_md,hypothesis_md,root_cause_md,severity,priority,status,canonical_rule_id,fingerprint_version,fingerprint_sha256,evidence_grade,confidence,blast_radius,visibility,standard_refs,duplicate_of,regression_of,source_team,owner,introduced_commit,fixed_commit,fixed_release,legacy_bsi_id,legacy_threat_level,created_at,updated_at
37ae85ae-5a81-486a-a22a-0443437efe21,BSI-2026-0011,defect,design_system,border-accent-gold-muted Class Does Not Exist,Currency card references border-accent-gold-muted as a CSS class. No CSS rule exists for this class. Border color falls back to default.,,,3,2,DETAINED,design/nonexistent-css-class,1,1a1ae688859dd3f1acca1222206a9aac4bae45a02cb0a564ec126fc79c375590,static_analysis,0.99,page,critical_path,[],,,T002,,,,,BSI-011,ZERO-DAY,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
7e68fc22-3c22-4b7c-9d62-af1d2a0a8eca,BSI-2026-0012,defect,ux,DNS Hosting Column Missing text-truncate,"In Domain Summary, Registrar/Email/Web Hosting columns use text-truncate. DNS Hosting column does not. Long provider names overflow on mobile.",,,3,2,DETAINED,ux/text-truncate-consistency,1,25b9b747a893e2665ad9983da917d96d90cd43ff12232a1d6387894872db27f2,reproduced,0.90,component,common,[],,,T002,,,,,BSI-012,EXPLOIT,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
d971e067-b01e-4dd8-94e7-47a353bb9132,BSI-2026-0013,defect,ux,Chevron Icons Never Rotate on Collapse,Chevron-down icons remain pointing down regardless of panel state. Users get no visual feedback about whether a section is open or closed.,Missing CSS transform or JS toggle for chevron rotation on Bootstrap collapse events.,,3,2,DETAINED,ux/collapse-chevron-rotation,1,2352d6935eb6be5132dc18ba9dcc3215af0837098b88da00fad2e918cd73a812,reproduced,0.90,flow,common,[],,,T002,,,,,BSI-013,EXPLOIT,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
923cb2b9-1fe8-4fa4-aa5b-c64a25a5529c,BSI-2026-0014,defect,ux,Tooltips Only Work on Results Pages,Bootstrap tooltip initialization happens only in inline script inside results.html. Global main.js has no tooltip init. Tooltips on other pages do nothing.,,,3,2,DETAINED,ux/tooltip-initialization-scope,1,37902edd594bc4b9b530840de5a9a013c182d44f2b6bc08d4357fe086245b757,reproduced,0.90,sitewide,common,[],,,T002,,,,,BSI-014,EXPLOIT,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
f1f7cb83-6470-4e9a-b9e7-704930041245,BSI-2026-0015,defect,ux,Mobile Navbar Menu Extends Below Viewport,"Navbar collapse dropdown uses position: absolute with no max-height and no overflow-y: auto. With 11+ nav items on shorter mobile screens, menu extends below viewport.",,,2,1,DETAINED,ux/navbar-mobile-overflow,1,262dc6e608f355a5341f956edd137b65a68522cae2ae05e60213b2a65eab830c,reproduced,0.85,sitewide,common,[],,,T003,,,,,BSI-015,EXPLOIT,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
7a6bfce4-0b51-4df8-98b0-4379e781ac20,BSI-2026-0016,design_debt,ux,Footer Wall of Text at 375px,Ten or more footer links in a single p tag separated by middot dots. At 375px this renders as unstructured wall of text with no grouping.,,,3,2,DETAINED,ux/footer-mobile-layout,1,b788bcb54153314f87283dfc4335f06798dc70a864d15c525af2635e9482904f,reproduced,0.85,sitewide,common,[],,,T003,,,,,BSI-016,EXPLOIT,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
2faae7d7-f851-43a0-b0f1-2ab31f42c61b,BSI-2026-0017,defect,seo,Video Category Score F (57/100),"SquirrelScan video category scored 57/100. Likely missing VideoObject structured data, accessibility attributes, poster images, or proper preload configuration.",Multiple video optimization best practices not implemented.,,3,2,DETAINED,seo/video-optimization,1,dfd32e2779095ec16c97c38fe440c43df7835a51511c0de50c914346c6fcf2e5,static_analysis,0.75,sitewide,internal,[],,,T001,,,,,BSI-017,EXPLOIT,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
a91a3484-f500-4063-8593-054dd4ead552,BSI-2026-0018a,weakness,security,OAuth Client ID Exposed in Page Source,Google OAuth Client ID visible in inline script on login page. Google documents client IDs as not secret and exposed to resource owners.,"Standard OAuth2 flow requires client_id in browser. This is hygiene, not a vulnerability.",,4,3,DETAINED,security/oauth-client-id-exposure,1,37f4b366de8ca6bc07bbdcebc096ee12b6ed1524976a934223b615b77108eff3,static_analysis,0.80,page,edge_case,"[{""ref"": ""RFC6749-2.2"", ""scheme"": ""OAuth2""}]",,,T001,,,,,BSI-018,ZERO-DAY,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
c621011e-6e65-4a5f-be3e-f99781daf355,BSI-2026-0018b,incident,security,Sanity Token Exposed in HTML,A Sanity Token exposed in analysis view HTML. Sanity documents tokens as credentials that should generally be considered secret. Browser-exposed tokens are a bad idea.,"Token may be a read-only public dataset token, but exposure should be verified and scoped.",,1,0,DETAINED,security/token-exposure-html,1,cdfde6065c61f8f52d0f64ea10374b227c933f5db7842fcfc60d7ee2f45696e6,static_analysis,0.85,page,common,[],,,T001,,,,,BSI-018,ZERO-DAY,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
f6e3779b-c55d-498e-8b45-d900ac532a8c,BSI-2026-0019,weakness,security,CSP script-src Allows Wildcard,"The script-src directive uses *, allowing JavaScript execution from any origin. This effectively disables browser-side XSS defense.",,,1,0,DETAINED,security/csp-script-src-wildcard,1,f1ae484acbbd923f08a4e9ec5f44cd7b233505c25f65e7dc70ac511b60b14605,measured,0.99,sitewide,common,"[{""ref"": ""Level-3"", ""scheme"": ""CSP""}]",,,T001,,,,,BSI-019,ZERO-DAY,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
a356b7cb-249e-4af3-ae14-076f03030b20,BSI-2026-0020,design_debt,design_system,908 !important Declarations,"~908 !important declarations, ~450 in covert mode alone. Architecturally inevitable without CSS @layer. Every future style must also use !important.",CSS @layer would resolve the specificity arms race. Supported since March 2022.,,2,2,DETAINED,design/important-declarations-count,1,350c412d17daf99d33bc1444a3d7112d44f3a2745e25a66d3f617302e9eaed55,measured,0.95,sitewide,internal,[],,,T004,,,,,BSI-020,CVE,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
049d1f26-e8c7-4f97-84a6-36a1511a7b38,BSI-2026-0021,design_debt,design_system,50+ Hardcoded Hex Colors Outside Token System,Documented 5-layer color architecture with CSS custom properties exists. But 50+ hex values bypass it entirely.,,,3,2,DETAINED,design/color-token-bypass,1,4c14b1cd7c18fccba095b18bce3e16e86696dbe52056dc8373003c6b4d99c5bb,static_analysis,0.90,sitewide,internal,[],,,T004,,,,,BSI-021,CVE,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
b72b9e12-897b-40a8-b0e8-978e3a0cd5ad,BSI-2026-0022,design_debt,design_system,Blur Radius Has 4 Values No Design Token,"backdrop-filter uses 12px, 8px, 6px, 4px across components with no documented rationale. No --blur-* design tokens.",,,4,3,DETAINED,design/blur-radius-token,1,d4ade2b11aa5835d776bbad424ec60cf8caa1409ab604f522b6bd7d02777eca5,static_analysis,0.85,sitewide,internal,[],,,T004,,,,,BSI-022,CVE,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
62cf1e27-2464-408b-887e-92ea20c2c546,BSI-2026-0023,design_debt,design_system,5+ Transition Timing Values No System,"0.15s, 0.2s, 0.25s, 0.3s, 0.35s — five different transition speeds across interactive elements. No transition design tokens.",,,4,3,DETAINED,design/transition-timing-token,1,29cef05e4723bf6906a362a7836a34ca22a1fb87f2cae5a74333936dfec5cfb0,static_analysis,0.85,sitewide,internal,[],,,T004,,,,,BSI-023,CVE,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
636d6e4d-694f-4e36-8472-72077174cee5,BSI-2026-0024,defect,performance,transition: all Animates Every CSS Property,"transition: all 0.2s ease animates width, height, box-shadow, and layout-triggering properties causing unnecessary GPU work.",,,3,2,DETAINED,perf/transition-all,1,730efafc4fe8b21e2d19cc4f54819cd6a2e914b6cab0ffed55ef705fac71e24a,static_analysis,0.90,sitewide,internal,[],,,T004,,,,,BSI-024,CVE,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
265a4870-3213-420c-9010-d6236fb39de0,BSI-2026-0025,design_debt,design_system,Three Syntaxes for Same Breakpoint,"Mixes max-width: 767px, 767.98px, and 768px — three different expressions for the same mobile/tablet boundary.",,,4,3,DETAINED,design/breakpoint-syntax-consistency,1,10a225183d557e0631b7867ed52fa0a87e75d9889abbd05d8af8d1084ad28435,static_analysis,0.95,sitewide,internal,[],,,T004,,,,,BSI-025,CVE,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
d0ba1c99-cc3b-42ae-8dd6-b440d48bc834,BSI-2026-0026,design_debt,design_system,Print CSS Scattered Across 4 Locations,Dedicated print.css plus 3 @media print blocks in custom.css plus inline style in results_executive.html. Four sources of truth.,,,4,3,DETAINED,design/print-css-consolidation,1,52322318b9be16d7abfa02f25a99d527c2d1811e434e22fbdad1a4715afd7840,static_analysis,0.90,sitewide,internal,[],,,T004,,,,,BSI-026,CVE,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
63684a40-07dc-438d-9aa4-ea1f2b974e4c,BSI-2026-0027,defect,design_system,Covert Mode Missed .u-code-block and .icae-card,.code-block has covert mode overrides. .u-code-block does not. ICAE card with gold gradient border has no covert override either.,,,3,2,DETAINED,design/covert-mode-coverage,1,f367cd0524b854a2e547c421594e85971441f51b920f0696f263b5ba04165013,reproduced,0.90,page,common,[],,,T004,,,,,BSI-027,CVE,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
bde61e07-9f18-476b-9403-b6642597da70,BSI-2026-0028,design_debt,design_system,Font Units Mixed rem px pt in Non-Print CSS,"Non-print CSS mixes rem, px, and pt. px and pt values will not scale with user font size preferences.",,,4,3,DETAINED,design/font-unit-consistency,1,afc7b5ce8cfb382d3705b45d6dd5f3f587cfc2ce51ea0d4684ff7028ca93e642,static_analysis,0.85,sitewide,internal,[],,,T004,,,,,BSI-028,CVE,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
fcd2b26b-17cf-4dbc-ba42-a8dfde405b6e,BSI-2026-0029,design_debt,design_system,Two Code Block Implementations,".code-block has copy button, hover effects, covert mode overrides. .u-code-block has none. Both exist. Templates may use either.",,,3,2,DETAINED,design/code-block-unification,1,c4d5c588f5f79d99b97e167fe8a77a7e01f23d0b9322ebabc01521234e0b59d3,static_analysis,0.90,sitewide,common,[],,,T004,,,,,BSI-029,CVE,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
5e79ec75-6941-4ea6-867e-2d3bf19cbf9f,BSI-2026-0030,defect,seo,66+ Pages Missing Canonical URLs,"/topology, /compare, and 66+ dynamic pages lack <link rel=canonical>. Search engines may index multiple URLs for same content.",,,3,2,DETAINED,seo/canonical-url-missing,1,ef21255ec97d3248b374d97841d01143aa27166a043d8b0d2545994e85760df5,static_analysis,0.90,sitewide,common,[],,,T001,,,,,BSI-030,CVE,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
f9427023-af41-49f0-a47f-3f6903d57ef6,BSI-2026-0031,defect,seo,Charset Not First Element in head,meta charset=UTF-8 must be within the first 1024 bytes and should be first child of head. Currently not first.,,,4,3,DETAINED,seo/charset-position,1,0c1ad5f359a1e8a41e28460bb5b76f502264fe209f183c8de14e2a987cfd65ad,static_analysis,0.95,sitewide,internal,[],,,T001,,,,,BSI-031,CVE,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
d9e54f85-4a07-4022-8802-9a7bdca5f9e5,BSI-2026-0032,defect,content,External Links Returning 403/404,"Four external links broken: two DTIC military research PDFs (403), IANA RDAP reference (404), DNI ICD 203 PDF (404).",External resources may have moved or been access-restricted.,,3,2,DETAINED,content/broken-external-links,1,4218b9fd834667ae82d9e13ff69b898852398cf113df91b96b98f157cca91282,measured,0.95,page,common,[],,,T001,,,,,BSI-032,CVE,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
6ed7fc64-45e5-495f-a82d-a2e3e2d65e03,BSI-2026-0033,defect,seo,15 Duplicate Page Titles Across 43 Pages,History pagination pages share identical titles. Analysis view and analyze pages share titles. Search engines treat as duplicate content.,,,3,2,DETAINED,seo/duplicate-page-titles,1,6d6bd116cd29553d1b172d85c494e22dde69ee92cc2442460d57a749d18c852e,measured,0.95,sitewide,common,[],,,T001,,,,,BSI-033,CVE,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
e683885c-d11b-4766-892a-e70591ac9520,BSI-2026-0034,compliance_gap,accessibility,Domain Input Missing required Attribute,Main domain input field lacks HTML required attribute. Form can be submitted empty.,,,4,3,DETAINED,a11y/input-required-attribute,1,3896d1a97ab54db7b037e1e3b252c6a85b9c6ae834fd6d38e9f357380b5fd9a9,static_analysis,0.95,component,critical_path,[],,,T003,,,,,BSI-034,IOC,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
0228b4b5-f823-4ba2-8e8a-fd42ac220b6b,BSI-2026-0035,compliance_gap,accessibility,Search Hint Not Linked via aria-describedby,Helper text below search input is not connected to the input via aria-describedby. Screen readers cannot associate the hint.,,,4,3,DETAINED,a11y/aria-describedby-hint,1,6ca93eea57dcb1075d9ca9f8551785d3359f4a98a1b6394a0bf7d596fae2a804,static_analysis,0.95,component,common,[],,,T003,,,,,BSI-035,IOC,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
a21cac7f-d79e-45a9-a798-3c0501f1a26b,BSI-2026-0036,defect,ux,Recon Mode Button Icon Only on Mobile,Recon Mode button shows only an icon at small breakpoints with no visible text label or accessible name providing context.,,,4,3,DETAINED,ux/icon-only-button-label,1,da7dadbadee576bb5cdfc6a4249ac33ed42090cacb3ff50e2831b3d0e20b7622,reproduced,0.85,component,common,[],,,T002,,,,,BSI-036,IOC,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
0a6292ef-97f4-4ecd-b209-336d607623c0,BSI-2026-0037,defect,ux,ROE Script Tags Look Clickable But Are Not,Rules of Engagement page script tags appear visually interactive but have no click handler or keyboard interaction.,,,4,3,DETAINED,ux/non-interactive-visual-affordance,1,0f283dafdbda30b61a57fdd5551e1519f0ab59fd16b1b2a5f79049b8053130ec,reproduced,0.80,component,edge_case,[],,,T003,,,,,BSI-037,IOC,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
d7ba35dd-6599-40d6-84ce-cdf68761d5d5,BSI-2026-0038,compliance_gap,accessibility,TLP Dropdown Items Missing role Attribute,TLP dropdown items use href=# without role attribute. Assistive technology cannot determine the interactive nature of these elements.,,,4,3,DETAINED,a11y/dropdown-role-attribute,1,25d86b647ef1e28a18986e47f1f8e6467610cfc8e4f9f6b5244ef6324fe5eceb,static_analysis,0.90,component,edge_case,[],,,T002,,,,,BSI-038,IOC,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
faddd70a-33c4-4505-b18c-960656dbc876,BSI-2026-0039,defect,ux,No Active Nav State on Analysis Pages,"When viewing analysis results, no navigation item shows active/current state. Users lose location context within the site.",,,4,3,DETAINED,ux/nav-active-state,1,eb1cbc11d5155042a0e3ec4a45a54f7758866c99a0b852c32fe4840c1b83c3f0,reproduced,0.85,page,common,[],,,T003,,,,,BSI-039,IOC,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
2f406283-98e7-4f46-a816-d7c4722f7f88,BSI-2026-0040,defect,ux,7 Header Action Buttons Compress at 375px,Seven header action buttons in results view compress and overlap at 375px mobile width. Buttons become hard to tap.,,,3,2,DETAINED,ux/button-mobile-overflow,1,c206136fa6b4bc1e4821397aace71e2c88704bc60929961016c74d0c0a67de7c,reproduced,0.85,component,common,[],,,T002,,,,,BSI-040,IOC,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
a9f3ba0e-f05d-4f7a-8cf9-e0b50295229c,BSI-2026-0041,compliance_gap,accessibility,Accordion Focus Styles Invisible on Dark Background,Default browser focus outline is invisible on dark background. Accordion items show no visible focus indicator when navigating by keyboard.,,,3,2,DETAINED,a11y/focus-visible-dark-bg,1,9afe5542466757d5807d9188bf3a5ccdfd650530036c035a56173062222b6f3d,reproduced,0.90,page,common,[],,,T003,,,,,BSI-041,IOC,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
c07012d5-20fe-433d-9da0-2a058e0622bb,BSI-2026-0042,design_debt,accessibility,Skip Link Uses :focus Instead of :focus-visible,"Skip-to-content link uses :focus instead of :focus-visible. Shows focus ring on mouse click in some browsers, not just keyboard navigation.",,,4,3,DETAINED,a11y/skip-link-focus-visible,1,723ebe77485a2fc60abed9d2d92593cde69ed9598dd9ce45fee623de74e0c414,static_analysis,0.90,component,internal,[],,,T004,,,,,BSI-042,IOC,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
a4791055-c238-4c42-87ed-4aac52c4d1f2,BSI-2026-0043,design_debt,design_system,No @supports Fallback for backdrop-filter,Browsers without backdrop-filter support render semi-transparent backgrounds without blur. Text over complex backgrounds becomes unreadable.,,,4,3,DETAINED,design/backdrop-filter-fallback,1,c6fba69ed28b110ce9da1d6564fa38597b8ddda0f016ed29cd9b89f782a0683f,inferred,0.75,sitewide,edge_case,[],,,T004,,,,,BSI-043,IOC,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
21b73812-e153-4187-8774-9553556faf46,BSI-2026-0044,defect,ux,TTL Tuner Promo Card Overflow at 375px,TTL Tuner promotional card content overflows its container at 375px mobile width.,,,4,3,DETAINED,ux/mobile-card-overflow,1,520e920162b5132402465e7259d9f6aafd5392acddc0e3eedb2f89fbc3687148,reproduced,0.80,component,common,[],,,T003,,,,,BSI-044,IOC,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
519b8125-6497-41e3-afe7-8423f8837709,BSI-2026-0045,defect,seo,Footer Orphan Link to Nonexistent Page,Footer contains a link to a page that returns 404. Broken internal link in global footer affects every page.,,,4,3,DETAINED,content/broken-internal-footer-link,1,a3f29633ab03f855f167f3a20d39eb31f7f941c8eef5f62f414592621fc40c14,measured,0.90,sitewide,common,[],,,T001,,,,,BSI-045,IOC,2026-03-18 22:29:07.365153+00,2026-03-18 22:29:07.365153+00
